Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Socializing,Socializing,Socializing,Socializing,Socializing
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Negotiating
Generating,Generating,Socializing,Generating,Generating
Generating,Negotiating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Negotiating,Negotiating,Negotiating,Negotiating,Negotiating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Socializing,Generating,Generating,Generating,Generating
Generating,Generating,Negotiating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Socializing,Socializing,Socializing,Socializing,Socializing
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
Generating,Generating,Generating,Generating,Generating
